date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:20	2443/2443	---MCZ	200	added ('OK')	text/html	etag:%221bef9a835df1ad74c674fcf4338e6968-ssl-df%22	https://brightside.technology/	C:/My%20Web%20Sites/es/brightside.technology/index.html	(from )
20:35:20	67/67	---M--	200	added ('OK')	text/plain	etag:%227172fc949ad9060a8d15b75fcf9975ee-ssl%22	https://brightside.technology/robots.txt		(from )
20:35:20	574/574	---M--	200	added ('OK')	image/svg+xml	etag:%228a637bb0096ec6094107c4df7453f19a-ssl%22	https://brightside.technology/brightside_icon.svg	C:/My%20Web%20Sites/es/brightside.technology/brightside_icon.svg	(from https://brightside.technology/)
20:35:21	5347/5347	---M--	200	added ('OK')	image/png	etag:%229956db8188dce4e25af1b23d376a3c8f-ssl%22	https://brightside.technology/logo192.png	C:/My%20Web%20Sites/es/brightside.technology/logo192.png	(from https://brightside.technology/)
20:35:21	492/492	---M--	200	added ('OK')	application/json	etag:%22349926a665a86927b27cf16a88387fbb-ssl%22	https://brightside.technology/manifest.json	C:/My%20Web%20Sites/es/brightside.technology/manifest.json	(from https://brightside.technology/)
20:35:21	79/79	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2018%20Dec%202021%2019:35:21%20GMT	http://brightside.technology/static/css/main.2a8e4641.chunk.css	C:/My%20Web%20Sites/es/brightside.technology/static/css/main.2a8e4641.chunk.3.delayed	(from https://brightside.technology/)
20:35:22	66/66	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2018%20Dec%202021%2019:35:21%20GMT	http://brightside.technology/MaisonNeue-Medium.otf	C:/My%20Web%20Sites/es/brightside.technology/MaisonNeue-Medium.5.delayed	(from https://brightside.technology/)
20:35:22	1826/1826	---MCZ	200	added ('OK')	text/css	etag:%2280486d701529d97aff87a4a79c44b1db-ssl-df%22	https://brightside.technology/static/css/main.2a8e4641.chunk.css	C:/My%20Web%20Sites/es/brightside.technology/static/css/main.2a8e4641.chunk.css	(from https://brightside.technology/)
20:35:23	74/74	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2018%20Dec%202021%2019:35:22%20GMT	http://brightside.technology/static/js/2.549a566a.chunk.js	C:/My%20Web%20Sites/es/brightside.technology/static/js/2.549a566a.chunk.7.delayed	(from https://brightside.technology/)
20:35:23	128648/128648	---MCZ	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	etag:%22281d80081411ba84870934be4e01c1f3-ssl-df%22	https://brightside.technology/MaisonNeue-Medium.otf	C:/My%20Web%20Sites/es/brightside.technology/MaisonNeue-Medium.otf	(from https://brightside.technology/)
20:35:25	77/77	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2018%20Dec%202021%2019:35:23%20GMT	http://brightside.technology/static/js/main.64180596.chunk.js	C:/My%20Web%20Sites/es/brightside.technology/static/js/main.64180596.chunk.9.delayed	(from https://brightside.technology/)
20:35:25	649402/649402	---MCZ	200	added ('OK')	application/javascript	etag:%22079e104ed3ffbc4433abf149e22f2d29-ssl-df%22	https://brightside.technology/static/js/2.549a566a.chunk.js	C:/My%20Web%20Sites/es/brightside.technology/static/js/2.549a566a.chunk.js	(from https://brightside.technology/)
20:35:25	67673/67673	---MCZ	200	added ('OK')	application/javascript	etag:%22842f2b94ab1b7215e16f972a97d8bd41-ssl-df%22	https://brightside.technology/static/js/main.64180596.chunk.js	C:/My%20Web%20Sites/es/brightside.technology/static/js/main.64180596.chunk.js	(from https://brightside.technology/)
